Time,Distance,PID
4907.809,-6.0,0.0
4907.811,-6.0,0.0
4907.812,-6.0,0.0
4907.814,-6.0,0.0
4907.815,-6.0,0.0
4907.819,-6.0,0.0
4907.82,-6.0,0.0
4907.821,-6.0,0.0
4907.823,-6.0,0.0
4907.824,-6.0,0.0
4907.827,-6.0,0.0
4907.829,-6.0,0.0
4907.83,-6.0,0.0
4907.832,-6.0,0.0
4907.833,-6.0,0.0
4907.834,-6.0,0.0
4907.836,-6.0,0.0
4907.837,-6.0,0.0
4907.84,-6.0,0.0
4907.841,-6.0,0.0
4907.842,-6.0,0.0
4907.844,-6.0,0.0
4907.845,-6.0,0.0
4907.851,-6.0,0.0
4907.852,-6.0,0.0
4907.853,-6.0,0.0
4907.855,-6.0,0.0
4907.858,-7.0,-53.0
4907.859,-7.0,0.0
4907.87,-7.0,0.0
4907.873,-7.0,0.0
4907.874,-7.0,0.0
4907.874,-7.0,0.0
4907.875,-7.0,0.0
4907.876,-7.0,0.0
4907.877,-7.0,0.0
4907.877,-7.0,0.0
4907.878,-7.0,0.0
4907.879,-7.0,0.0
4907.88,-7.0,0.0
4907.881,-7.0,0.0
4907.882,-7.0,0.0
4907.882,-7.0,0.0
4907.883,-7.0,0.0
4907.884,-7.0,0.0
