341902, -0.56, -0.32, -17.24, 9.43, 18.40, -0.33, -0.38 
341939, -0.85, 0.08, -17.24, 9.44, 18.41, -0.39, -0.33 
341976, 0.19, -0.43, -17.25, 9.45, 18.40, -0.33, -0.33 
342013, -0.19, -0.16, -17.25, 9.46, 18.41, -0.32, -0.31 
342050, 0.21, 0.26, -17.25, 9.45, 18.40, -0.26, -0.25 
342087, -1.19, -0.53, -17.25, 9.46, 18.41, -0.36, -0.28 
342124, -0.29, -0.69, -17.25, 9.46, 18.42, -0.35, -0.32 
342161, -0.45, 0.50, -17.26, 9.47, 18.43, -0.37, -0.22 
342198, 0.19, -0.83, -17.26, 9.47, 18.44, -0.31, -0.29 
342235, -0.34, -0.53, -17.26, 9.47, 18.43, -0.32, -0.31 
342272, 0.19, -0.32, -17.26, 9.48, 18.42, -0.27, -0.30 
342309, -1.13, -0.29, -17.27, 9.50, 18.41, -0.36, -0.28 
342346, -0.24, -0.29, -17.27, 9.50, 18.42, -0.35, -0.28 
342383, -0.29, -0.48, -17.27, 9.51, 18.41, -0.35, -0.29 
342420, -0.67, 0.05, -17.28, 9.51, 18.41, -0.39, -0.26 
342457, -0.48, -0.91, -17.28, 9.50, 18.42, -0.40, -0.33 
342494, -0.45, -0.71, -17.28, 9.49, 18.44, -0.40, -0.38 
342531, -1.12, 0.11, -17.28, 9.49, 18.44, -0.47, -0.33 
342568, -0.64, -0.59, -17.29, 9.49, 18.44, -0.49, -0.36 
342605, 0.11, -0.32, -17.29, 9.48, 18.45, -0.44, -0.36 
342642, 0.13, -0.43, -17.29, 9.49, 18.46, -0.38, -0.36 
342679, -0.74, 0.29, -17.30, 9.50, 18.47, -0.43, -0.29 
342716, -0.51, 0.13, -17.30, 9.51, 18.47, -0.44, -0.23 
342753, -0.96, -1.54, -17.31, 9.52, 18.46, -0.49, -0.36 
342790, -0.11, 0.54, -17.32, 9.53, 18.45, -0.47, -0.26 
342827, 0.29, -0.32, -17.33, 9.54, 18.44, -0.40, -0.26 
342864, 0.03, 0.19, -17.34, 9.54, 18.42, -0.36, -0.21 
342901, 0.19, -0.58, -17.34, 9.55, 18.44, -0.31, -0.24 
342938, -0.13, -0.03, -17.34, 9.55, 18.46, -0.29, -0.21 
342975, -0.08, 0.05, -17.34, 9.56, 18.46, -0.27, -0.18 
343012, -0.24, -0.03, -17.34, 9.58, 18.45, -0.27, -0.15 
343049, -0.67, -0.16, -17.34, 9.58, 18.45, -0.30, -0.15 
343086, -0.03, -0.29, -17.34, 9.58, 18.46, -0.28, -0.17 
343123, -0.43, -0.75, -17.34, 9.58, 18.48, -0.30, -0.22 
343160, -0.37, 0.16, -17.35, 9.59, 18.50, -0.31, -0.18 
343197, -1.22, -0.03, -17.35, 9.59, 18.51, -0.40, -0.16 
343234, -0.32, 0.21, -17.35, 9.58, 18.51, -0.39, -0.13 
343271, 0.05, -0.53, -17.37, 9.59, 18.50, -0.37, -0.16 
343308, 0.32, -0.19, -17.38, 9.59, 18.50, -0.31, -0.16 
343345, -0.53, 0.18, -17.38, 9.59, 18.49, -0.33, -0.13 
343382, -0.56, 0.13, -17.38, 9.60, 18.50, -0.36, -0.10 
343419, -0.13, -0.91, -17.38, 9.60, 18.50, -0.33, -0.18 
343456, -0.50, -0.88, -17.38, 9.61, 18.50, -0.35, -0.24 
343493, -0.11, 0.29, -17.38, 9.61, 18.50, -0.32, -0.19 
343530, -0.11, -0.37, -17.37, 9.60, 18.48, -0.29, -0.21 
343567, -0.54, -0.24, -17.36, 9.60, 18.47, -0.31, -0.22 
343604, -0.13, -0.51, -17.35, 9.59, 18.48, -0.29, -0.25 
343641, -0.32, -0.05, -17.36, 9.60, 18.48, -0.29, -0.22 
343678, 0.40, -0.24, -17.36, 9.61, 18.48, -0.22, -0.22 
343715, -1.04, 0.11, -17.37, 9.62, 18.48, -0.31, -0.18 
343752, 0.00, 0.24, -17.37, 9.62, 18.48, -0.28, -0.13 
343789, 0.13, -0.29, -17.37, 9.62, 18.49, -0.24, -0.15 
343826, -0.45, -0.05, -17.38, 9.62, 18.49, -0.27, -0.14 
343863, -0.56, -0.48, -17.38, 9.63, 18.49, -0.30, -0.17 
343900, -0.27, -0.90, -17.37, 9.63, 18.49, -0.29, -0.24 
343937, -0.48, -0.45, -17.37, 9.63, 18.50, -0.31, -0.26 
343974, -0.69, 0.24, -17.37, 9.63, 18.50, -0.35, -0.21 
344011, -0.64, -0.21, -17.37, 9.63, 18.49, -0.38, -0.21 
344048, 0.24, -0.32, -17.37, 9.63, 18.49, -0.31, -0.22 
344085, -1.07, 0.43, -17.37, 9.63, 18.50, -0.39, -0.15 
344122, -0.05, 0.08, -17.37, 9.64, 18.49, -0.36, -0.12 
344159, 0.11, 0.40, -17.37, 9.64, 18.49, -0.31, -0.07 
344196, 0.16, -0.08, -17.38, 9.65, 18.48, -0.27, -0.06 
344233, -0.91, -0.16, -17.38, 9.66, 18.48, -0.34, -0.07 
344270, -0.45, -0.19, -17.38, 9.66, 18.48, -0.35, -0.07 
344307, -0.77, -0.69, -17.40, 9.67, 18.49, -0.40, -0.13 
344344, 0.03, -0.37, -17.39, 9.66, 18.50, -0.36, -0.16 
344381, -0.74, -0.32, -17.39, 9.66, 18.49, -0.40, -0.18 
344418, -0.19, -0.75, -17.39, 9.66, 18.49, -0.37, -0.23 
344455, -0.16, -0.58, -17.39, 9.66, 18.49, -0.35, -0.27 
344492, -1.21, -0.05, -17.38, 9.65, 18.50, -0.43, -0.26 
344529, -0.11, -1.03, -17.38, 9.66, 18.51, -0.39, -0.32 
344566, -0.49, -0.54, -17.38, 9.65, 18.51, -0.40, -0.35 
344603, -0.16, -0.80, -17.38, 9.66, 18.52, -0.38, -0.39 
344640, -3.15, -1.70, -17.38, 9.68, 18.86, -0.66, -0.51 
344677, 0.08, -0.48, -17.39, 9.68, 18.85, -0.59, -0.50 
344714, 5.29, 6.66, -17.39, 9.69, 18.91, -0.01, 0.22 
344751, -5.90, -3.54, -17.39, 9.69, 19.01, -0.60, -0.16 
344788, -0.48, -0.21, -17.40, 9.70, 19.02, -0.59, -0.15 
344825, 0.16, 0.11, -17.40, 9.70, 19.03, -0.52, -0.13 
344862, -4.90, -4.08, -17.40, 9.69, 19.17, -0.95, -0.53 
344899, -0.29, -0.24, -17.40, 9.70, 19.17, -0.89, -0.49 
344936, -12.56, -18.03, -17.41, 9.69, 19.54, -2.06, -2.25 
344973, -0.08, -0.11, -17.40, 9.68, 19.56, -1.86, -2.04 
345010, 1.11, 1.95, -17.40, 9.68, 19.97, -1.56, -1.65 
345047, 2.12, 1.65, -17.40, 9.67, 20.08, -1.19, -1.33 
345084, -3.72, -3.61, -17.44, 9.67, 20.59, -1.48, -1.56 
345121, -3.62, -6.66, -17.44, 9.65, 21.19, -1.70, -2.08 
345158, -28.97, -32.78, -17.45, 9.65, 22.13, -4.43, -5.15 
345195, -6.61, -7.60, -17.47, 9.67, 22.44, -4.66, -5.38 
345232, -2.39, -3.09, -17.47, 9.67, 22.69, -4.44, -5.15 
345269, 20.14, 33.77, -17.46, 9.69, 23.00, -1.98, -1.24 
345306, -9.63, -8.83, -17.47, 9.70, 23.44, -2.75, -1.99 
